Date,Open,High,Low,Close,Volume
2025-06-30,93.47,94.32,92.65,93.18,1653984
2025-07-01,92.93,93.6,89.5,92.06,1079201
2025-07-02,92.19,93.27,90.81,91.6,2059922
2025-07-03,90.16,90.53,89.67,89.94,2774064
2025-07-04,91.58,91.86,89.99,90.71,1000426
2025-07-07,90.66,91.11,89.12,90.44,2736836
2025-07-08,89.09,89.4,87.84,88.68,1713102
2025-07-09,87.31,88.39,86.96,87.46,1979640
2025-07-10,87.87,89.7,85.45,87.83,1163890
2025-07-11,88.49,89.17,88.07,88.84,2167942
2025-07-14,91.73,93.72,90.85,91.23,1201176
2025-07-15,94.14,96.23,93.97,94.73,1401011
2025-07-16,95.62,96.98,94.41,95.23,2387546
2025-07-17,93.95,94.94,93.32,94.04,911143
2025-07-18,92.07,92.79,90.23,91.48,1783799
2025-07-21,92.18,93.68,91.28,91.8,2108048
2025-07-22,91.74,94.7,90.39,90.83,1090462
2025-07-23,90.7,91.24,89.85,90.33,1448461
2025-07-24,88.81,92.02,88.02,89.6,1555703
2025-07-25,89.39,89.86,87.89,89.43,2259966
2025-07-28,90.12,91.27,89.66,90.71,2948759
2025-07-29,90.63,91.36,90.21,90.89,2639739
2025-07-30,91.46,93.02,90.39,90.7,1217484
2025-07-31,89.78,90.08,89.22,89.46,839953
2025-08-01,87.1,87.55,86.15,87.45,914206
2025-08-04,86.36,86.95,84.11,86.87,2110570
2025-08-05,86.82,87.61,85.98,86.8,1143773
2025-08-06,88.32,89.27,87.53,88.92,1308817
2025-08-07,88.75,89.75,86.42,89.08,2664261
2025-08-08,90.42,91.1,89.3,90.26,2722554
2025-08-11,90.24,91.14,88.75,89.66,2645867
2025-08-12,88.54,90.17,88.04,88.24,1358061
2025-08-13,85.94,88.05,84.82,87.08,2163306
2025-08-14,86.36,87.25,85.97,86.21,2143694
2025-08-15,88.8,90.14,87.73,88.76,1207544
2025-08-18,87.99,88.18,87.72,87.78,2017789
2025-08-19,89.59,91.0,87.74,88.79,1955564
2025-08-20,86.67,88.14,85.69,87.7,1671566
2025-08-21,88.52,90.27,87.61,88.82,2453658
2025-08-22,89.58,89.71,88.72,89.28,2290765
2025-08-25,88.3,89.35,88.08,89.09,1971840
2025-08-26,89.78,91.35,88.4,89.04,2396693
2025-08-27,88.44,88.8,88.25,88.26,2478838
2025-08-28,89.22,90.16,88.09,88.79,2047263
2025-08-29,87.96,88.7,86.93,88.25,1388883
2025-09-01,87.18,87.64,86.77,86.78,2468528
2025-09-02,85.78,87.34,85.03,85.24,2378750
2025-09-03,85.57,86.21,84.24,85.45,2963517
2025-09-04,87.46,88.0,85.78,87.35,1129525
2025-09-05,87.67,88.82,86.85,87.54,1722399
2025-09-08,86.96,89.79,86.61,87.4,2833298
2025-09-09,87.66,88.53,86.64,87.74,1932082
